TF,atr,mult_e,mult_t,mode,sesi,n,net,PF,WR%,avgR,maxDD,hijau,netSide,netBull,avgR_side
M15,10,1.8,5.0,conservative,asia,588,572,1.3,35.5,-0.0332,-244,2/6,-133,705,-0.0827
M15,10,1.8,5.0,conservative,ny,801,247,1.06,36.7,-0.0017,-348,3/6,49,199,-0.0112
M15,10,2.5,-,direct,all,4259,223,1.01,33.6,-0.0403,-1525,2/6,-999,1222,-0.0821
M15,10,2.5,-,direct,asia,939,19,1.0,32.9,-0.0603,-456,1/6,-263,282,-0.1203
M15,10,2.5,-,direct,ny,1305,-650,0.92,36.6,-0.0314,-1011,1/6,-172,-477,-0.0368
M15,10,2.5,2.5,moderate,all,4259,223,1.01,33.6,-0.0403,-1525,2/6,-999,1222,-0.0821
M15,10,2.5,2.5,moderate,asia,939,19,1.0,32.9,-0.0603,-456,1/6,-263,282,-0.1203
M15,10,2.5,2.5,moderate,ny,1305,-650,0.92,36.6,-0.0314,-1011,1/6,-172,-477,-0.0368
M15,10,2.5,2.5,conservative,all,4259,223,1.01,33.6,-0.0403,-1525,2/6,-999,1222,-0.0821
M15,10,2.5,2.5,conservative,asia,939,19,1.0,32.9,-0.0603,-456,1/6,-263,282,-0.1203
M15,10,2.5,2.5,conservative,ny,1305,-650,0.92,36.6,-0.0314,-1011,1/6,-172,-477,-0.0368
M15,10,2.5,-,buy_only,all,2129,834,1.08,35.3,-0.0008,-625,3/6,-422,1257,-0.0717
M15,10,2.5,-,buy_only,asia,495,37,1.02,34.1,-0.0521,-361,3/6,-191,228,-0.1332
M15,10,2.5,-,buy_only,ny,638,-2,1.0,37.0,0.003,-396,3/6,-31,29,-0.0371
M15,10,2.5,-,sell_only,all,2130,-611,0.95,31.9,-0.0798,-1972,1/6,-577,-34,-0.0925
M15,10,2.5,-,sell_only,asia,444,-18,0.99,31.5,-0.0694,-431,1/6,-72,54,-0.1062
M15,10,2.5,-,sell_only,ny,667,-648,0.85,36.1,-0.0643,-1012,1/6,-142,-506,-0.0365
M15,10,2.5,3.8,moderate,all,3303,141,1.01,33.3,-0.0342,-1502,2/6,-859,1000,-0.0672
M15,10,2.5,3.8,moderate,asia,676,-25,0.99,32.8,-0.0321,-364,2/6,-177,152,-0.0823
M15,10,2.5,3.8,moderate,ny,1076,-630,0.9,36.2,-0.0549,-937,1/6,-242,-388,-0.0689
M15,10,2.5,3.8,conservative,all,1366,1428,1.2,34.0,-0.0096,-810,1/6,-361,1789,-0.0595
M15,10,2.5,3.8,conservative,asia,267,-11,0.99,33.7,-0.0802,-376,1/6,-80,69,-0.1034
M15,10,2.5,3.8,conservative,ny,487,-364,0.88,32.9,-0.0758,-636,2/6,-278,-86,-0.1311
M15,10,2.5,5.0,moderate,all,2912,654,1.04,33.7,-0.0234,-962,2/6,-676,1330,-0.0644
M15,10,2.5,5.0,moderate,asia,521,669,1.28,34.0,0.0237,-267,4/6,-131,800,-0.0559
M15,10,2.5,5.0,moderate,ny,973,-502,0.92,37.9,-0.0283,-876,1/6,-110,-392,-0.0452
M15,10,2.5,5.0,conservative,all,1511,1636,1.2,34.9,0.0217,-366,4/6,-166,1802,-0.0326
M15,10,2.5,5.0,conservative,asia,294,585,1.5,37.4,0.0646,-121,4/6,12,574,0.0012
M15,10,2.5,5.0,conservative,ny,489,-127,0.96,35.2,-0.0259,-522,3/6,-157,30,-0.0539
M15,14,1.2,-,direct,all,10965,-1839,0.95,34.6,-0.0524,-2787,2/6,-1957,118,-0.0802
M15,14,1.2,-,direct,asia,2127,503,1.08,37.2,-0.0269,-400,2/6,-189,692,-0.067
M15,14,1.2,-,direct,ny,3065,-564,0.96,35.3,-0.0315,-853,2/6,-489,-74,-0.0499
M15,14,1.2,2.5,moderate,all,7627,-1302,0.95,34.0,-0.0453,-2237,2/6,-1807,504,-0.0767
M15,14,1.2,2.5,moderate,asia,1535,278,1.06,37.1,-0.0582,-605,2/6,-349,627,-0.1046
M15,14,1.2,2.5,moderate,ny,2234,-612,0.94,35.0,-0.0269,-804,2/6,-435,-177,-0.0386
M15,14,1.2,2.5,conservative,all,3954,1040,1.08,34.9,-0.0289,-719,2/6,-580,1620,-0.0643
M15,14,1.2,2.5,conservative,asia,775,388,1.18,37.5,-0.0568,-344,2/6,-158,546,-0.1188
M15,14,1.2,2.5,conservative,ny,1143,12,1.0,36.0,-0.0107,-361,4/6,-40,52,-0.006
M15,14,1.2,-,buy_only,all,5482,-530,0.97,35.4,-0.0267,-1221,2/6,-1011,481,-0.0773
M15,14,1.2,-,buy_only,asia,1034,-164,0.95,36.9,-0.0128,-402,3/6,-115,-48,-0.0746
M15,14,1.2,-,buy_only,ny,1528,-324,0.95,35.1,-0.0243,-442,2/6,-350,26,-0.0689
M15,14,1.2,-,sell_only,all,5483,-1309,0.93,33.9,-0.0782,-2688,1/6,-946,-364,-0.0832
M15,14,1.2,-,sell_only,asia,1093,667,1.21,37.4,-0.0403,-352,3/6,-74,740,-0.0597
M15,14,1.2,-,sell_only,ny,1537,-239,0.96,35.5,-0.0387,-659,2/6,-139,-100,-0.0305
M15,14,1.2,3.8,moderate,all,6635,-1057,0.95,33.8,-0.0439,-2146,2/6,-1364,308,-0.0713
M15,14,1.2,3.8,moderate,asia,1277,-264,0.93,34.2,-0.0546,-492,2/6,-243,-21,-0.0975
M15,14,1.2,3.8,moderate,ny,2000,-50,0.99,35.7,-0.0242,-798,2/6,-358,308,-0.0484
M15,14,1.2,3.8,conservative,all,4533,588,1.04,34.4,-0.0364,-1114,2/6,-709,1297,-0.0686
M15,14,1.2,3.8,conservative,asia,911,196,1.07,34.4,-0.0571,-434,2/6,-171,368,-0.112
M15,14,1.2,3.8,conservative,ny,1259,246,1.05,36.2,-0.0048,-286,3/6,-153,399,-0.0364
M15,14,1.2,5.0,moderate,all,6238,212,1.01,34.4,-0.0336,-1575,2/6,-1133,1345,-0.0685
M15,14,1.2,5.0,moderate,asia,1157,449,1.13,35.0,-0.0336,-372,2/6,-238,687,-0.1045
M15,14,1.2,5.0,moderate,ny,1852,306,1.04,36.6,-0.0008,-492,3/6,-214,520,-0.0396
M15,14,1.2,5.0,conservative,all,4848,1339,1.08,34.9,-0.0251,-896,2/6,-688,2028,-0.0666
M15,14,1.2,5.0,conservative,asia,970,650,1.23,35.8,-0.0277,-273,2/6,-145,795,-0.1004
M15,14,1.2,5.0,conservative,ny,1338,532,1.1,36.5,0.0202,-303,4/6,-106,638,-0.0307
