TF,atr,mult_e,sesi,mode,hijau,n_IS,PF_IS,avgR_IS,net_IS,DD_IS,n_OOS,PF_OOS,avgR_OOS,net_OOS,DD_OOS
M30,7,2.5,ny,direct,4/6,432,0.99,-0.005,-59.0,-1705.0,144,1.17,0.142,611.0,-1063.0
M30,20,1.2,ny,conservative,4/6,573,1.03,0.01,171.0,-574.0,170,1.23,0.142,725.0,-517.0
M30,7,1.2,ny,direct,3/6,931,1.0,-0.001,-33.0,-1600.0,355,1.17,0.138,1469.0,-1285.0
M30,7,3.2,london,direct,4/6,241,1.19,0.137,993.0,-1000.0,75,1.15,0.135,303.0,-940.0
M30,10,3.2,all,conservative,5/7,479,1.09,0.047,672.0,-737.0,154,1.17,0.135,623.0,-1271.0
M30,20,2.5,london,direct,2/6,287,0.9,-0.077,-662.0,-1776.0,90,1.15,0.134,363.0,-1107.0
M30,10,1.2,ny,conservative,5/6,544,1.1,0.038,623.0,-661.0,179,1.21,0.134,721.0,-490.0
M30,14,1.2,ny,conservative,4/6,576,1.04,0.014,247.0,-758.0,172,1.22,0.134,694.0,-594.0
M30,10,2.5,all,conservative,3/7,512,1.04,0.02,303.0,-1092.0,173,1.17,0.129,671.0,-893.0
M30,20,1.8,all,direct,3/7,2491,0.9,-0.041,-3088.0,-3879.0,868,1.18,0.127,3297.0,-1270.0
H1,14,1.2,ny,direct,4/6,478,0.97,-0.02,-288.0,-1626.0,138,1.14,0.125,518.0,-1172.0
M30,10,2.5,london,direct,2/6,333,0.87,-0.091,-913.0,-1633.0,94,1.14,0.122,343.0,-1107.0
M30,10,1.8,ny,conservative,4/6,341,0.84,-0.077,-792.0,-1202.0,89,1.17,0.116,310.0,-477.0
M30,10,1.2,all,direct,3/7,4011,0.91,-0.028,-3376.0,-4071.0,1453,1.17,0.104,4553.0,-1273.0
M30,14,1.2,all,direct,3/7,3993,0.91,-0.027,-3251.0,-3840.0,1469,1.15,0.097,4281.0,-1636.0
H1,10,3.2,all,direct,5/7,541,1.1,0.063,1025.0,-762.0,192,1.12,0.097,559.0,-1451.0
M30,20,1.2,ny,direct,3/6,1052,0.97,-0.016,-504.0,-1906.0,350,1.11,0.086,906.0,-1124.0
M30,20,1.2,all,direct,4/7,3977,0.93,-0.022,-2651.0,-3254.0,1463,1.13,0.084,3672.0,-1369.0
M30,7,1.2,all,direct,3/7,4019,0.91,-0.028,-3429.0,-4016.0,1451,1.13,0.082,3549.0,-1704.0
M30,20,1.8,ny,conservative,2/6,360,0.87,-0.061,-659.0,-1219.0,85,1.12,0.077,197.0,-458.0
M30,14,1.8,ny,direct,2/6,672,0.94,-0.036,-716.0,-1766.0,207,1.09,0.073,452.0,-1102.0
M30,14,1.8,ny,conservative,2/6,356,0.92,-0.036,-386.0,-1186.0,84,1.09,0.06,151.0,-450.0
H1,7,3.2,all,direct,6/7,561,1.08,0.051,857.0,-933.0,194,1.07,0.055,319.0,-1474.0
H1,7,1.8,ny,direct,3/6,327,0.97,-0.023,-226.0,-1888.0,102,1.05,0.044,135.0,-880.0
M30,14,3.2,all,direct,4/7,1073,1.02,0.009,277.0,-1140.0,376,1.05,0.042,477.0,-2105.0
H1,7,1.8,all,direct,3/7,1211,0.95,-0.025,-915.0,-1779.0,435,1.03,0.024,310.0,-2616.0
M30,10,1.8,london,direct,3/6,470,0.95,-0.034,-475.0,-1856.0,159,1.03,0.024,113.0,-910.0
M30,7,3.2,all,conservative,3/7,508,0.97,-0.019,-284.0,-837.0,169,1.03,0.021,108.0,-1452.0
M30,14,1.2,asia,conservative,3/6,278,0.95,-0.013,-106.0,-642.0,123,1.02,0.011,40.0,-615.0
