TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
H1,1.8,10,5.0,ny,532,195.0,1.02,35.5,-0.011,-2320.0,4/6,-0.001,252.0,-0.026,-57.0
H1,1.8,20,2.0,all,1629,1830.0,1.04,35.4,-0.012,-2342.0,2/6,-0.02,-738.0,-0.003,2568.0
H1,1.2,10,3.0,all,2649,4275.0,1.08,34.0,-0.012,-3196.0,2/6,-0.051,-1892.0,0.036,6166.0
H1,1.8,20,flip,ny,532,-32.0,1.0,36.1,-0.012,-2363.0,4/6,0.007,91.0,-0.039,-123.0
H1,1.2,20,5.0,asia,449,1851.0,1.19,33.4,-0.013,-968.0,3/6,-0.097,-550.0,0.069,2401.0
M15,1.2,20,2.0,asia,2276,1939.0,1.1,37.8,-0.013,-872.0,3/6,-0.033,-113.0,0.009,2052.0
H1,1.2,20,3.0,asia,449,1703.0,1.17,33.4,-0.013,-907.0,2/6,-0.071,-347.0,0.043,2050.0
H1,1.2,20,2.0,asia,449,2302.0,1.24,33.6,-0.013,-907.0,2/6,-0.064,-386.0,0.037,2688.0
M15,1.2,10,2.0,asia,2276,2470.0,1.13,37.7,-0.014,-850.0,3/6,-0.039,-154.0,0.013,2624.0
H1,1.2,20,2.0,ny,778,-1260.0,0.92,37.5,-0.014,-2174.0,1/6,0.002,-244.0,-0.039,-1016.0
M30,1.2,20,4.0,asia,1053,870.0,1.07,35.7,-0.015,-1649.0,3/6,-0.037,-462.0,0.009,1332.0
M15,1.2,20,3.0,ny,2930,-1259.0,0.97,35.9,-0.015,-1699.0,2/6,-0.021,-510.0,-0.009,-749.0
M15,1.8,20,2.0,asia,1452,1154.0,1.08,37.1,-0.015,-899.0,3/6,-0.041,-422.0,0.015,1576.0
H1,1.2,20,4.0,all,2649,3801.0,1.07,34.2,-0.016,-3157.0,2/6,-0.044,-2100.0,0.018,5901.0
H1,1.2,10,2.0,all,2649,2360.0,1.04,34.5,-0.016,-2748.0,2/6,-0.055,-1955.0,0.033,4315.0
M30,1.2,10,4.0,asia,1053,1238.0,1.1,35.6,-0.016,-1523.0,3/6,-0.053,-511.0,0.026,1749.0
H1,1.2,20,3.0,all,2649,3733.0,1.07,34.3,-0.018,-3214.0,2/6,-0.043,-2026.0,0.014,5759.0
H1,1.2,10,5.0,asia,449,1641.0,1.17,32.7,-0.018,-1122.0,3/6,-0.141,-704.0,0.103,2345.0
H1,1.2,20,2.0,all,2649,3867.0,1.07,34.6,-0.019,-3022.0,2/6,-0.045,-2048.0,0.012,5915.0
